Category: All categories

Month,স্কুল: (Sylhet Division),হাসপাতাল: (Sylhet Division),হসপিটাল: (Sylhet Division),সেতু: (Sylhet Division),Email: (Sylhet Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,0,0
2012-10,0,0,0,0,0
2012-11,0,0,0,0,0
2012-12,0,0,0,0,0
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,100
2013-09,0,0,0,0,0
2013-10,0,0,0,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,38
2014-07,0,0,0,0,0
2014-08,0,0,0,0,25
2014-09,0,0,0,0,25
2014-10,0,0,0,0,9
2014-11,0,0,0,0,13
2014-12,0,0,0,0,13
2015-01,0,0,0,0,12
2015-02,0,0,0,0,15
2015-03,0,0,0,0,11
2015-04,0,0,0,0,11
2015-05,0,0,0,0,10
2015-06,5,0,0,0,16
2015-07,0,0,0,0,0
2015-08,0,0,0,0,19
2015-09,0,0,0,0,17
2015-10,0,0,0,0,28
2015-11,0,0,0,0,27
2015-12,0,0,0,0,39
2016-01,0,0,0,0,25
2016-02,0,0,0,0,17
2016-03,0,0,0,0,20
2016-04,0,0,0,0,16
2016-05,0,0,0,0,24
2016-06,0,0,0,0,17
2016-07,0,0,0,0,20
2016-08,0,0,0,0,19
2016-09,0,0,0,0,11
2016-10,0,0,0,0,23
2016-11,0,0,0,0,23
2016-12,0,0,0,0,18
2017-01,0,0,0,0,19
2017-02,0,0,0,0,20
2017-03,0,0,0,0,15
2017-04,0,0,0,0,17
2017-05,0,0,0,0,19
2017-06,0,0,0,0,12
2017-07,0,0,0,0,18
2017-08,0,0,0,0,19
2017-09,0,0,0,0,13
2017-10,0,0,0,0,15
2017-11,0,0,0,0,18
2017-12,4,0,0,0,17
2018-01,3,0,0,0,14
2018-02,2,2,0,0,13
2018-03,0,0,0,0,20
2018-04,0,0,0,0,18
2018-05,0,0,0,0,15
2018-06,0,3,0,0,15
2018-07,0,0,0,0,18
2018-08,4,3,0,0,19
2018-09,4,0,0,0,16
2018-10,4,4,0,2,16
2018-11,4,3,0,0,17
2018-12,5,2,0,0,13
2019-01,3,0,0,0,14
2019-02,3,2,0,0,20
2019-03,0,4,0,2,19
2019-04,3,3,0,0,21
2019-05,5,2,0,0,26
2019-06,2,2,0,0,20
2019-07,3,3,0,4,21
2019-08,3,4,0,0,19
2019-09,4,4,0,0,18
2019-10,4,3,0,0,19
2019-11,5,3,0,0,19
2019-12,7,3,2,0,15
2020-01,5,2,0,0,17
2020-02,4,3,0,0,19
2020-03,5,3,0,0,20
2020-04,5,4,0,0,18
2020-05,6,4,0,0,18
2020-06,6,6,0,0,22
2020-07,4,5,1,0,23
2020-08,6,5,1,0,20
2020-09,4,6,1,0,20
2020-10,4,5,1,0,21
2020-11,7,5,1,1,17
2020-12,10,5,1,5,18
2021-01,8,4,0,2,16
2021-02,5,5,0,0,16
2021-03,7,6,2,1,16
2021-04,4,4,0,1,14
2021-05,3,4,1,0,14
2021-06,4,6,2,1,16
2021-07,3,6,1,1,13
2021-08,4,8,2,2,15
2021-09,10,7,1,1,14
2021-10,8,6,2,1,13
2021-11,9,5,1,1,15
2021-12,9,5,2,1,12
2022-01,8,5,1,1,14
2022-02,7,5,2,1,14
2022-03,6,6,1,1,16
2022-04,5,4,1,1,16
2022-05,6,5,2,3,16
2022-06,7,4,2,17,17
2022-07,6,5,2,7,15
2022-08,7,6,2,3,17
2022-09,6,6,2,4,19
2022-10,6,6,2,3,18
2022-11,7,5,2,3,19
2022-12,9,4,1,2,11
2023-01,7,5,2,1,12
2023-02,8,6,2,2,14
2023-03,6,6,2,2,13
2023-04,5,5,2,2,11
2023-05,6,6,2,2,16
2023-06,7,6,2,1,16
2023-07,6,8,2,1,13
2023-08,7,7,3,2,15
2023-09,7,7,3,2,15
2023-10,6,6,2,2,13
2023-11,8,6,2,2,15
2023-12,8,6,2,2,12
2024-01,7,5,2,1,12
2024-02,7,6,2,1,13
2024-03,8,6,2,1,12
2024-04,6,7,2,1,11
2024-05,9,7,2,1,12
2024-06,6,6,2,1,10
2024-07,8,6,2,1,12
2024-08,7,7,2,1,12
2024-09,6,8,3,1,13
2024-10,6,8,3,1,12
2024-11,8,6,2,1,13
2024-12,8,6,2,1,12
2025-01,7,6,2,1,14
2025-02,7,5,2,1,10
2025-03,4,4,2,1,11
2025-04,6,6,3,1,11
2025-05,5,6,3,1,11
2025-06,6,7,3,1,12
2025-07,9,8,3,0,11
2025-08,8,8,3,1,11
2025-09,7,8,3,<1,10
