Month,স্কুল,হাসপাতাল,হসপিটাল,সেতু,Email,আর্মি,সড়ক,রোড,সড়ক,Email_file1,পয়ঃনিষ্কাশন,ব্যবস্থা,সিস্টেম,শাসনব্যবস্থা,Email_file2,বেকারি,জনসাধারণ,স্কয়ার,উদ্যান,Email_file3,পার্ক,আবাসন কমপ্লেক্স,আবাসিক কমপ্লেক্স,হাউজিং কমপ্লেক্স,Email_file4,ভবন,বিল্ডিং,বিদ্যুৎ,অর্থায়ন,Email_file5,ফান্ডিং,নিয়োগ,সক্ষমতা,সামর্থ,Email_file6,যানজট,ট্রাফিক,অতিরিক্ত ভিড়,ক্ষতি,Email_file7,ভাঙা,খোলা,বন্ধ,প্রকল্প,Email_file8,প্রজেক্ট,অপেক্ষা,বিলম্ব,দেরী,Email_file9,প্রাথমিক,প্রাইমারী,মাধ্যমিক,তৃতীয়,Email_file10,ব্রিজ,চেকপয়েন্ট,বাস,বিশ্ববিদ্যালয়,Email_file11,উচ্চমাধ্যমিক,উপেক্ষা,বসতি,দোকান,Email_file12,পুনর্বাসন,বস্তি,অপসারণ,উন্নয়নজনিত পুনর্বাসন,Email_file13,বিঘ্ন,ঔষধালয়,পয়ঃনিষ্কাশন_file14,হোটেল,Email_file14,ভোটকেন্দ্র,অফিস,অধিদপ্তর,স্যানিটেশন,Email_file15,শহরতলি,উপশহর,শহরতলিগুলো,উপশহরগুলো,Email_file16,বীমা,বিদ্যুৎ কেন্দ্র,শক্তি,অগ্নি,Email_file17,বিপণিবিতান,অপর্যাপ্ত,উন্নতি,ভোটকেন্দ্র_file18,Email_file18,আবাসন,পানীয় জল,সেলুন,সেবা,Email_file19,সার্ভিস,যোগাযোগ,বিদ্যুৎ লাইন,মদ বিক্রয়কেন্দ্র,Email_file20,মদের দোকান,ট্যাক্সি,একক,আবাসিক ইউনিট,Email_file21,ইউনিভার্সিটি,বাজার,স্টেশন,ক্যাফে,Email_file22,আবাসন সংকট,ভিড়,পরিষ্কার,নোংরা,Email_file23,ব্যর্থতা,পুনর্গঠন,যন্ত্রপাতি,চিকিৎসা,Email_file24,ইন্টারনেট,টেলিফোন লাইন,বিদ্যুৎ উৎপাদক,জেনারেটর,Email_file25,কলেজ,নার্সারি,বাঁধ,লবণমুক্তকরণ,Email_file26,বিশুদ্ধকরণ,কারখানা,ফ্যাক্টরি,Email_file27,রেস্তোরাঁ,রেস্টুরেন্ট,আঙ্গিনা,বন্দর,Email_file28,পোর্ট,বন্দর_file29,পাইপলাইন,সীমান্ত,Email_file29,বর্ডার,মন্ত্রণালয়,বাড়িগুলো,বাড়ি,Email_file30,চিকিৎসাকেন্দ্র,ক্লিনিক,ঔষধালয়_file31,ফার্মেসি,Email_file31,আদালত,কোর্ট,কারাগার,জেল,Email_file32,পুলিশ,বিমানবন্দর,এয়ারপোর্ট,সেনাবাহিনী,Email_file33,অবকাঠামো,সামরিক,মিলিটারি,বিদ্যালয়,Email_file34
2004-01,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
2004-02,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,78.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
2004-03,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
2004-04,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
2004-05,0.0,0.0,0.0,0.0,65,0.0,0.0,0.0,0.0,65,0.0,0.0,0.0,0.0,65,0.0,0.0,0.0,0.0,65,0.0,0.0,0.0,0,65,0.0,0.0,0.0,0.0,65,0.0,0.0,0.0,0.0,65,0.0,0.0,0,0.0,65,0.0,0.0,0.0,0.0,65,0.0,0.0,0.0,0.0,65,0.0,0.0,0.0,0.0,65,0.0,0,0.0,0,65,0.0,0.0,0.0,0.0,65,0.0,0.0,0.0,0,65,0.0,0.0,0.0,0,65,0.0,0.0,0,0.0,65,0.0,0.0,0,0.0,65,0.0,0.0,0.0,0.0,65,0,0.0,0.0,0.0,65,0.0,0,0.0,0.0,65,0.0,0.0,0.0,0,65,0.0,0.0,0.0,0.0,65,0.0,0,0.0,0.0,65,0,0.0,0.0,0.0,65,0.0,0.0,0.0,0.0,65,0,0,0.0,0.0,65,0,0.0,0.0,0,65,0.0,0.0,0.0,65,0.0,0.0,0.0,0.0,65,0.0,0.0,0.0,0.0,65,0.0,0.0,0.0,0.0,65,0,0.0,0.0,0.0,65,0.0,0.0,0.0,0.0,65,0.0,0.0,0.0,0.0,65,0.0,0.0,0.0,0.0,65
2004-06,0.0,0.0,0.0,0.0,62,0.0,0.0,0.0,0.0,62,0.0,0.0,0.0,0.0,62,0.0,0.0,0.0,0.0,62,0.0,0.0,0.0,0,62,0.0,0.0,0.0,0.0,62,0.0,0.0,0.0,0.0,62,0.0,0.0,0,0.0,62,0.0,0.0,0.0,0.0,62,0.0,0.0,0.0,0.0,62,0.0,0.0,0.0,0.0,62,0.0,0,0.0,0,62,0.0,0.0,0.0,0.0,62,0.0,0.0,0.0,0,62,0.0,0.0,0.0,0,62,0.0,0.0,0,0.0,62,0.0,0.0,0,0.0,62,0.0,0.0,0.0,0.0,62,0,0.0,0.0,0.0,62,0.0,0,0.0,0.0,62,0.0,0.0,0.0,0,62,0.0,0.0,0.0,0.0,62,0.0,0,0.0,0.0,62,0,0.0,0.0,0.0,62,0.0,0.0,0.0,0.0,62,0,0,0.0,0.0,62,0,0.0,0.0,0,62,0.0,0.0,0.0,62,0.0,0.0,0.0,0.0,62,0.0,0.0,0.0,0.0,62,0.0,0.0,0.0,0.0,62,0,0.0,0.0,0.0,62,0.0,0.0,0.0,0.0,62,0.0,0.0,0.0,0.0,62,0.0,0.0,0.0,0.0,62
2004-07,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0,100,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,100,0.0,0.0,0,0.0,100,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,100,0.0,0,0.0,0,100,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0,100,0.0,0.0,0.0,0,100,0.0,0.0,0,0.0,100,0.0,0.0,0,0.0,100,0.0,0.0,0.0,0.0,100,0,0.0,0.0,0.0,100,0.0,0,0.0,0.0,100,0.0,0.0,0.0,0,100,0.0,0.0,0.0,0.0,100,0.0,0,0.0,0.0,100,0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,100,0,0,0.0,0.0,100,0,0.0,0.0,0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,100,0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,100
2004-08,0.0,0.0,0.0,0.0,72,0.0,0.0,0.0,0.0,72,0.0,0.0,0.0,0.0,72,0.0,0.0,0.0,0.0,72,0.0,0.0,0.0,0,72,0.0,0.0,0.0,0.0,72,0.0,0.0,0.0,0.0,72,0.0,0.0,0,0.0,72,0.0,0.0,0.0,0.0,72,0.0,0.0,0.0,0.0,72,0.0,0.0,0.0,0.0,72,0.0,0,0.0,0,72,0.0,0.0,0.0,0.0,72,0.0,0.0,0.0,0,72,0.0,0.0,0.0,0,72,0.0,0.0,0,0.0,72,0.0,0.0,0,0.0,72,0.0,0.0,0.0,0.0,72,0,0.0,0.0,0.0,72,0.0,0,0.0,0.0,72,0.0,0.0,0.0,0,72,0.0,0.0,0.0,0.0,72,0.0,0,0.0,0.0,72,0,0.0,0.0,0.0,72,0.0,0.0,0.0,46.0,72,0,0,0.0,0.0,72,0,0.0,0.0,0,72,0.0,0.0,0.0,72,0.0,0.0,0.0,0.0,72,0.0,0.0,0.0,0.0,72,0.0,0.0,0.0,0.0,72,0,0.0,0.0,0.0,72,0.0,0.0,0.0,0.0,72,0.0,0.0,0.0,0.0,72,0.0,0.0,0.0,0.0,72
2004-09,0.0,0.0,0.0,0.0,68,0.0,0.0,0.0,0.0,68,0.0,0.0,0.0,0.0,68,0.0,0.0,0.0,0.0,68,0.0,0.0,0.0,0,68,0.0,0.0,0.0,0.0,68,0.0,0.0,0.0,0.0,68,0.0,0.0,0,0.0,68,0.0,0.0,0.0,0.0,68,0.0,0.0,0.0,0.0,68,0.0,0.0,0.0,0.0,68,0.0,0,0.0,0,68,0.0,0.0,0.0,0.0,68,0.0,0.0,0.0,0,68,0.0,0.0,0.0,0,68,0.0,0.0,0,0.0,68,0.0,0.0,0,0.0,68,0.0,0.0,0.0,0.0,68,0,0.0,0.0,0.0,68,0.0,0,0.0,0.0,68,0.0,0.0,0.0,0,68,0.0,0.0,0.0,0.0,68,0.0,0,0.0,0.0,68,0,0.0,0.0,0.0,68,0.0,0.0,0.0,0.0,68,0,0,0.0,0.0,68,0,0.0,0.0,0,68,0.0,0.0,0.0,68,0.0,0.0,0.0,0.0,68,0.0,0.0,0.0,0.0,68,0.0,0.0,0.0,0.0,68,0,0.0,0.0,0.0,68,0.0,0.0,0.0,0.0,68,0.0,0.0,0.0,0.0,68,0.0,0.0,0.0,0.0,68
2004-10,0.0,0.0,0.0,0.0,69,0.0,0.0,0.0,0.0,69,0.0,0.0,0.0,0.0,69,0.0,0.0,0.0,0.0,69,0.0,0.0,0.0,0,69,0.0,0.0,0.0,0.0,69,0.0,0.0,0.0,0.0,69,0.0,0.0,0,0.0,69,0.0,0.0,0.0,0.0,69,0.0,0.0,0.0,0.0,69,0.0,0.0,0.0,0.0,69,0.0,0,0.0,0,69,0.0,0.0,0.0,0.0,69,0.0,0.0,0.0,0,69,0.0,0.0,0.0,0,69,0.0,0.0,0,0.0,69,0.0,0.0,0,0.0,69,0.0,0.0,0.0,0.0,69,0,0.0,0.0,0.0,69,0.0,0,0.0,0.0,69,0.0,0.0,0.0,0,69,0.0,0.0,0.0,0.0,69,0.0,0,0.0,0.0,69,0,0.0,0.0,0.0,69,0.0,0.0,0.0,0.0,69,0,0,0.0,0.0,69,0,0.0,0.0,0,69,0.0,0.0,0.0,69,0.0,0.0,0.0,0.0,69,0.0,0.0,0.0,0.0,69,0.0,0.0,0.0,0.0,69,0,0.0,0.0,0.0,69,0.0,0.0,0.0,0.0,69,0.0,0.0,0.0,0.0,69,0.0,0.0,0.0,0.0,69
