Category: All categories

Month,পুলিশ: (Rangpur Division),বিমানবন্দর: (Rangpur Division),এয়ারপোর্ট: (Rangpur Division),সেনাবাহিনী: (Rangpur Division),Email: (Rangpur Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,0,0
2012-10,0,0,0,0,0
2012-11,0,0,0,0,0
2012-12,0,0,0,0,0
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,0,0,0,0,0
2013-10,0,0,0,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,0
2014-07,0,0,0,0,0
2014-08,0,0,0,0,0
2014-09,0,0,0,0,0
2014-10,0,0,0,0,0
2014-11,0,0,0,0,0
2014-12,0,0,0,0,0
2015-01,0,0,0,0,0
2015-02,0,0,0,0,0
2015-03,0,0,0,0,0
2015-04,0,0,0,0,0
2015-05,0,0,0,0,0
2015-06,0,0,0,0,0
2015-07,0,0,0,0,0
2015-08,0,0,0,0,0
2015-09,0,0,0,0,0
2015-10,0,0,0,0,0
2015-11,0,0,0,0,0
2015-12,0,0,0,0,0
2016-01,0,0,0,0,0
2016-02,0,0,0,0,0
2016-03,0,0,0,0,88
2016-04,0,0,0,0,0
2016-05,0,0,0,0,0
2016-06,0,0,0,0,0
2016-07,0,0,0,0,0
2016-08,0,0,0,0,67
2016-09,0,0,0,0,48
2016-10,0,0,0,0,52
2016-11,0,0,0,0,98
2016-12,0,0,0,34,86
2017-01,0,0,0,0,0
2017-02,0,0,0,0,70
2017-03,0,0,0,0,100
2017-04,0,0,0,0,80
2017-05,0,0,0,0,67
2017-06,0,0,0,0,58
2017-07,32,0,0,0,54
2017-08,0,0,0,0,34
2017-09,0,0,0,0,47
2017-10,0,0,0,0,89
2017-11,0,0,0,0,67
2017-12,19,0,0,0,54
2018-01,14,0,0,0,42
2018-02,17,0,0,0,58
2018-03,0,0,0,0,48
2018-04,14,0,0,0,73
2018-05,0,0,0,0,58
2018-06,0,0,0,0,52
2018-07,0,0,0,0,46
2018-08,11,0,0,0,44
2018-09,17,0,0,0,48
2018-10,14,0,0,0,43
2018-11,11,0,0,0,56
2018-12,11,0,0,16,47
2019-01,9,0,0,0,50
2019-02,10,0,0,9,54
2019-03,11,0,0,0,54
2019-04,0,0,0,8,49
2019-05,23,0,0,0,60
2019-06,17,0,0,6,37
2019-07,19,0,0,0,52
2019-08,10,0,0,8,44
2019-09,13,0,0,13,52
2019-10,16,0,0,0,61
2019-11,9,0,0,6,46
2019-12,14,0,0,9,45
2020-01,14,0,0,11,43
2020-02,18,0,0,9,52
2020-03,13,0,0,9,39
2020-04,12,0,0,6,40
2020-05,10,0,0,4,38
2020-06,11,0,0,6,46
2020-07,14,0,0,8,48
2020-08,16,0,0,16,41
2020-09,14,0,0,9,39
2020-10,13,0,0,10,41
2020-11,13,0,0,15,35
2020-12,17,1,0,14,37
2021-01,20,2,0,15,41
2021-02,16,0,0,7,42
2021-03,15,1,0,6,38
2021-04,13,0,1,3,38
2021-05,11,1,0,4,37
2021-06,14,0,0,4,34
2021-07,11,0,0,5,31
2021-08,14,1,0,9,33
2021-09,27,0,0,5,32
2021-10,18,0,0,6,31
2021-11,19,0,0,8,40
2021-12,18,0,0,10,28
2022-01,16,0,0,19,34
2022-02,26,1,0,9,30
2022-03,23,1,0,8,39
2022-04,18,1,0,7,36
2022-05,11,1,0,5,36
2022-06,15,1,0,12,38
2022-07,13,1,0,7,27
2022-08,15,1,0,10,34
2022-09,16,1,0,9,38
2022-10,13,2,0,7,36
2022-11,18,1,0,6,36
2022-12,30,0,1,15,26
2023-01,19,0,0,9,28
2023-02,21,2,0,11,28
2023-03,16,0,0,10,29
2023-04,13,1,0,5,27
2023-05,13,1,0,5,31
2023-06,14,2,0,4,31
2023-07,18,2,1,6,24
2023-08,19,1,2,6,28
2023-09,13,1,1,8,25
2023-10,10,1,0,6,26
2023-11,12,1,0,6,26
2023-12,18,1,0,14,24
2024-01,24,2,0,16,25
2024-02,23,1,0,8,28
2024-03,17,1,1,7,26
2024-04,15,1,1,4,22
2024-05,13,1,0,4,27
2024-06,11,1,1,4,21
2024-07,13,0,0,4,26
2024-08,17,1,0,10,26
2024-09,18,1,0,6,27
2024-10,28,0,0,6,29
2024-11,21,0,0,11,28
2024-12,15,2,0,13,25
2025-01,13,1,0,8,27
2025-02,16,1,0,6,27
2025-03,15,1,0,7,30
2025-04,14,2,0,5,26
2025-05,12,2,1,5,26
2025-06,10,0,0,3,25
2025-07,15,1,1,9,22
2025-08,15,1,<1,8,28
2025-09,15,2,1,18,23
